"","x1","x2","x3","x4","x5","x6","Axis1","Axis2"
"1",4.1,0.6,6.9,4.7,2.35,5.2,1.35853054618857,0.345191265050756
"2",1.8,3,6.3,6.6,4,8.4,-2.58222646193129,-0.879518018390248
"3",3.4,5.2,5.7,6,2.7,8.2,-2.50456159207506,0.227923493087741
"4",2.7,1,7.1,5.9,2.3,7.8,-0.268716846861791,0.345943357766381
"5",6,0.9,9.6,7.8,4.6,4.5,1.28222365098005,-4.27824332511956
"6",1.9,3.3,7.9,4.8,1.9,9.7,-1.30598760058076,1.60888323292522
"7",4.6,2.4,9.5,6.6,4.5,7.6,-0.359207373716556,-2.80229322343792
"8",1.3,4.2,6.2,5.1,2.2,6.9,-1.74545671149514,1.50596835069779
"9",5.5,1.6,9.4,4.7,3,7.6,1.24958744026233,-0.829596394550431
"10",4,3.5,6.5,6,3.2,8.7,-1.70096228270466,-0.54237393123298
"11",2.4,1.6,8.8,4.8,2.8,5.8,0.710070561997654,0.166486194247398
"12",3.9,2.2,9.1,4.6,2.5,8.3,0.414116201077474,0.247814762923961
"13",2.8,1.4,8.1,3.8,1.4,6.6,1.19751770823982,1.92229453516182
"14",3.7,1.5,8.6,5.7,3.7,6.7,0.235708125068441,-1.33852326751628
"15",4.7,1.3,9.9,6.7,2.6,6.8,1.1276920171851,-1.50858068594976
"16",3.4,2,9.7,4.7,1.7,4.8,1.86884371470916,0.599286194841464
"17",3.2,4.1,5.7,5.1,2.9,6.2,-1.32996212021026,0.398106668147783
"18",4.9,1.8,7.7,4.3,1.5,5.9,1.57656294315003,0.982978465634159
"19",5.3,1.4,9.7,6.1,3.9,6.8,0.913561159033759,-2.39205361435637
"20",4.7,1.3,9.9,6.7,2.6,6.8,1.1276920171851,-1.50858068594976
"21",3.3,0.9,8.6,4,1.8,6.3,1.61301136273485,1.19928114712739
"22",3.4,0.4,8.3,2.5,1.7,5.2,2.5313360468602,2.00377911823072
"23",3,4,9.1,7.1,3.4,8.4,-1.61753140906053,-1.48418151792286
"24",2.4,1.5,6.7,4.8,2.5,7.2,-0.275106238182469,0.909184209948516
"25",5.1,1.4,8.7,4.8,2.6,3.8,2.25281996635106,-0.621105531051634
"26",4.6,2.1,7.9,5.8,2.8,4.7,0.931252655674367,-0.924753137359741
"27",2.4,1.5,6.6,4.8,2.5,7.2,-0.308485127885932,0.927637525933588
"28",5.2,1.3,9.7,6.1,3.9,6.7,0.954335715374415,-2.37477339155405
"29",3.5,2.8,9.9,3.5,1.7,5.4,1.79210566134161,1.26107689140328
"30",4.1,3.7,5.9,5.5,3,8.4,-1.65141560693152,-0.0433607186873134
"31",3,3.2,6,5.3,3,8,-1.5700823233673,0.31818071205184
"32",2.8,3.8,8.9,6.9,3.2,8.2,-1.4775703637516,-1.14061832456034
"33",5.2,2,9.3,5.9,2.4,4.6,1.76200999559813,-1.09818303793083
"34",3.4,3.7,6.4,5.7,3.4,8.4,-1.89022643888503,-0.364614530082792
"35",2.4,1,7.7,3.4,1.1,6.2,1.44253059375249,2.52715650767716
"36",1.8,3.3,7.5,4.5,2.4,7.6,-0.917370048425242,1.29331346429667
"37",3.6,4,5.8,5.8,2.5,9.3,-2.14034859796362,0.45883029000453
"38",4,0.9,9.1,5.4,2.6,7.3,1.01734038970823,-0.431197840808209
"39",0,2.1,6.9,5.4,2.6,8.9,-1.8942372514259,1.34206866956096
"40",2.4,2,6.4,4.5,2.2,8.8,-0.87907818559506,1.52316266250985
"41",1.9,3.4,7.6,4.6,2.5,7.7,-0.98735057107971,1.12153186761541
"42",5.9,0.9,9.6,7.8,4.6,4.5,1.25212119980493,-4.24858079472855
"43",4.9,2.3,9.3,4.5,1.3,6.2,1.83201721444466,0.790496162870951
"44",5,1.3,8.6,4.7,2.5,3.7,2.32280048900552,-0.449323934370374
"45",2,2.6,6.5,3.7,1.7,8.5,-0.719525069320916,2.46678406715829
"46",5,2.5,9.4,4.6,1.4,6.3,1.72181466689033,0.623045710780102
"47",3.1,1.9,10,4.5,3.2,3.8,1.75715810659927,-0.578327862291145
"48",3.4,3.9,5.6,5.6,2.3,9.1,-2.04060957755455,0.806724627957462
"49",5.8,0.2,8.8,4.5,2.4,6.7,2.2434311801636,-0.339806808436702
"50",5.4,2.1,8,3,1.4,5.2,2.31582333870997,1.51739294061109
"51",3.7,0.7,8.2,6,2.5,5.2,1.21967701321856,-0.5943045658095
"52",2.6,4.8,8.2,5,2.5,9,-1.64868580088633,0.75334082747463
"53",4.5,4.1,6.3,5.9,3.4,8.8,-1.93133769754939,-0.730487105412357
"54",2.8,2.4,6.7,4.9,2.6,9.2,-1.19237916591639,0.854489591769876
"55",3.8,0.8,8.7,2.9,2.1,5.6,2.25141395624233,1.31665273150568
"56",2.9,2.6,7.7,7,3.6,7.7,-1.37938784847301,-1.42391191372977
"57",4.9,4.4,7.4,6.9,4,9.6,-2.29587778148965,-2.00614388715462
"58",5.4,2.5,9.6,5.5,3,7.7,0.672184354482948,-1.22007818129094
"59",4.3,1.8,7.6,5.4,2.5,4.4,1.16886987454983,-0.35562470363179
"60",2.3,4.5,8,4.7,2.2,8.7,-1.40536534321946,1.25023230153334
"61",3.1,1.9,9.9,4.5,3.1,3.8,1.75868842200102,-0.477610132096368
"62",5.1,1.9,9.2,5.8,2.3,4.5,1.83199051825259,-0.926401441249571
"63",4.1,1.1,9.3,5.5,2.7,7.4,0.940516731857369,-0.617101608884132
"64",3,3.8,5.5,4.9,2.6,6,-1.11486984489626,0.819603131129597
"65",1.1,2,7.2,4.7,3.2,10,-1.77568207751121,0.927551556226292
"66",3.7,1.4,9,4.5,2.3,6.8,1.19962740858393,0.388489010097166
"67",4.2,2.5,9.2,6.2,3.9,7.3,-0.207853090300025,-1.93938443832821
"68",1.6,4.5,6.4,5.3,2.5,7.1,-1.93044653563402,1.05480935732497
"69",5.3,1.7,8.5,3.7,1.9,4.8,2.36784778420477,0.617452083884285
"70",2.3,3.7,8.3,5.2,2.3,9.1,-1.27935986503943,0.841245216217403
"71",3.6,5.4,5.9,6.2,2.9,8.4,-2.64452263738399,-0.115639700274781
"72",5.6,2.2,8.2,3.1,1.6,5.3,2.27441495182888,1.21523108334405
"73",3.6,2.2,9.9,4.8,1.9,4.9,1.78721330292822,0.301455482164832
"74",5.2,1.3,9.1,4.5,2.7,7.3,1.43185335731366,-0.368035248190817
"75",3,2,6.6,6.6,2.7,8.2,-1.2035104981213,-0.280804718212043
"76",4.2,2.4,9.4,4.9,2.7,8.5,0.309960845735059,-0.197647920498807
"77",3.8,0.8,8.3,6.1,2.6,5.3,1.14969649056409,-0.76608616249076
"78",3.3,2.6,9.7,3.3,1.5,5.2,1.93206670665055,1.6046400847658
"79",1,1.9,7.1,4.5,3.1,9.9,-1.67802590394468,1.15311679659172
"80",4.5,1.6,8.7,4.6,2.1,6.8,1.30200905837315,0.325956188840405
"81",5.5,1.8,8.7,3.8,2.1,4.9,2.32643939732368,0.315290226617243
"82",3.4,4.6,5.5,8.2,4.4,6.3,-2.94986335923432,-2.49586404206851
"83",1.6,2.8,6.1,6.4,3.8,8.2,-2.44226541662235,-0.535954825027727
"84",2.3,3.7,7.6,5,2.5,7.4,-1.0063444968793,0.776587116091119
"85",2.6,3,8.5,6,2.8,6.8,-0.531627190464511,-0.341734988540884
"86",2.5,3.1,7,4.2,2.2,9,-1.06942768259325,1.60787608375198
"87",2.4,2.9,8.4,5.9,2.7,6.7,-0.491749118985167,-0.140290861468618
"88",2.1,3.5,7.4,4.8,2.3,7.2,-0.866383451570363,1.12015030945364
"89",2.9,1.2,7.3,6.1,2.5,8,-0.408677892170725,0.00238016440385953
"90",4.3,2.5,9.3,6.3,4,7.4,-0.237611588054633,-2.11549717959988
"91",3,2.8,7.8,7.1,3.8,7.9,-1.55515458374847,-1.66557561703204
"92",4.8,1.7,7.6,4.2,1.4,5.8,1.6465434658045,1.15476006231542
"93",3.1,4.2,5.1,7.8,4,5.9,-2.63983881744133,-1.83840018573448
"94",1.9,2.7,5,4.9,2.5,8.2,-1.80994939488653,1.44990495503331
"95",4,0.5,6.7,4.5,2.1,5,1.50582662032537,0.704555279717535
"96",0.6,1.6,6.4,5,2.1,8.4,-1.24088332613928,1.82090517498205
"97",6.1,0.5,9.2,4.8,2.8,7.1,2.00130431418254,-0.947818165676982
"98",2,2.8,5.2,5,2.7,8.4,-1.91211521555866,1.18545679115556
"99",3.1,2.2,6.7,6.8,2.9,8.4,-1.40695288430882,-0.576252065198487
"100",2.5,1.8,9,5,3,6,0.540007065513597,-0.147414468724119
